RECOGITO_ID,ANNOTATIONS,PAGE_NUMBER,ANNOTATED_TEXT,BARCODE
recogito-832bb251-4264-4d37-931a-ea75befb4c19,animals 25F|other mammals 25F26,23,"In der Fürſtl. Holſteiniſchen Reſident Glücksburg, da ich etliche Jahe
unwürdig Probji und Hof- Prediger geweſen, und in der gangen dahin gehóa
rigen Refier Landes ſind auch keine Ratten zu finden, und hat man dieſe Ürſa-
che zur Nachridht: Die Münche hätten ſie hinweg gebannet, dieweil es vora
bin ein Münchs- Klojter geweſen, das Rüde- Kloſter genannt.",Z255430508
recogito-91776675-2c15-49d7-8657-71cd350c19dc,pages,23,--- 00024_page24.txt ---,Z255430508
recogito-ebf047e0-e1b1-46f7-93c6-36fb4709985b,animals 25F|horses and kindred animals 46C1314|plants vegetation 25G,24,"Und weil gleich gewünſcht von Venedig Mieth- Roffe kommend,
alda in meinem Duartier, zur Trauben, eingekehret, habe ich alsbald das
Gedinge mit ihnen gemacht, ein Roß von ihnen gemiethet, und bin, riebenſt
des Biſchoffs von Würzburg Abgeſandten, dann einein Schleſiſchen von
Adel, und des Herrn Gefandten Vetter, den 23 Máy, Nachmittage von Augs
fvurg fort, und nacher Rom zugegangen, unter Wegens aber kommen 1) auf
Landsberg, welches ein Stádllein am Berge liegend, fünf ſtarcfe Meiten von
Augſpurg, und hat auf der Höhe ein Schloß, allwo wir über Nacht verblies
ben.",Z255430508
recogito-eca1e8e4-935c-49e9-8cb5-1ac296f48fdf,subheading,24,"Das III. Capitel.
Von der Reiſe über das Nipen- Gebärge.",Z255430508
recogito-2b5dfa85-5384-482a-b491-fa03680f97f5,animals 25F|hoofed animal 25F24,25,"Zwiſchen dieſen beyden Städten liegt das feljichte Gebůrge, worauf ſich
Kayſer Maximilianus, der Erſte dieſes Nahmens, auf der Gemſen- Gago
verſtiegen, und in Leibs und Lebens- Gefahr gerathen, jedoch endlich durdi
GOttes Gnade gerettet worden.",Z255430508
recogito-7869aeac-b24d-457a-b4f7-192fef520908,pages,26,--- 00027_page27.txt ---,Z255430508
recogito-04567946-4a45-49a3-80d2-2b43a55be0ea,pages,27,--- 00028_page28.txt ---,Z255430508
recogito-4f221031-9049-429f-bf95-97d31d97e8d5,subheading,28,"Das erſte Capitel.
Von der Reiſe durd Belſchland:",Z255430508
recogito-0b18c021-ff59-449d-a276-61b870407da2,pages,28,--- 00029_page29.txt ---,Z255430508
recogito-5b0a2919-94fc-46c3-87fe-869cfa59ce6b,animals 25F|horses and kindred animals 46C1314|birds 25F3,29,"Als ich mich nun einen Monat auda aufgehalten, und was zu befehen gex
weſen, fleißig in Augenſchein genomen, bin ich mitGOtt dylüßig worden, meine
Nieiſe mit dem förderfumſten nachConſtantinopel fortzuſeßē, babe mich demnach
wieder auf einer gemietheten land- Gutſchen, zurůcke nacher Venedig begeben,
find ſechs Meilen, und habe allda mein logier im ſchwarzen Adler genuinmen.",Z255430508
recogito-849e88d7-2b80-4d93-ae25-86c491db9290,pages,29,--- 00030_page30.txt ---,Z255430508
recogito-97378af2-a5b2-4846-a21b-f0240e047fc0,plants vegetation 25G,30,"Uber die fd ónen ſonderba-
ren Luſtgårten, deren 185 an der Zahl.",Z255430508
recogito-1afb29b9-c2d0-4260-9f85-2c48540a1acb,pages,32,--- 00033_page33.txt ---,Z255430508
recogito-05daa7cd-cc70-473b-862e-55c87b0db95f,plants vegetation 25G,33,"Den 4. Sept. haben wir etwas mehr
Wind gebabt, und von ferne zur linden Hand geſehen, 3) die JnfulS. Andrea,
welchegar klein und ode iſt. Weiter aber auf ſelbiger Hand, ſind wir anſichtig
worden, 4) einen groſſen Felſen mitten im Meere, ſo, ivegen der Form eines Apf-
fels, Pomo genannt wird, und werden darauf viel FalcEen gefangen.",Z255430508
recogito-dd77f9c8-6bf8-4186-9e2e-b6372e71b8d6,plants vegetation 25G,34,"Und weil wir zur Lincken der Einfahrt ſolches Hafens oder Ports, ein ſchön gri-
nes báumichtes Gebürge hatten, ſuchten wir etliche mal uns allda zu erluſtigen,
auch mit Holt zum Knochen ins Schif zu verſehen, wiewol in möglichſter Stille,
und ſo, daß wir kein lautes Wort reden dorften, aus Furcht für denen vorgedach-
ten räuberiſchen Türden, damit ſie uns nicht hören und nachſtellen ſotten.",Z255430508
recogito-c81555a0-f803-4efb-a2ed-ab89daad5c08,pages,34,--- 00035_page35.txt ---,Z255430508
recogito-d1df93ae-4051-4df0-9fae-f559234a7ccb,subheading,36,"Das IV. Capitel.
Von unſerm Aufbrud und fortzug von Caſtello Novo.",Z255430508
recogito-1c7580d3-ba66-4719-a3a3-7f4f1ce104ce,pages,36,--- 00037_page37.txt ---,Z255430508
recogito-bda197b4-df78-4880-b49c-f4f839b07210,plants vegetation 25G|animals 25F|beasts of prey predatory animals 25F23|wine 41C711,37,"Das( and iſt ſehr fruchtbar, und findet man ganke Wålder von Pomeranken,
Zitronen und Granatäpfeln drinnen, Wein und Baumöht, Honig und Wachs iſt
die Menge da, wie auch kein Mangel an Geträyde iſt. Keine Raubthiere gibts
nicht, aber ſonſt allerhand gut Wildpert.",Z255430508
recogito-29682516-b1a6-42fe-b7d1-9508c25ae188,plants vegetation 25G,37,"Es erbauet dieſer Berg oder Felß auch etwas an Del und Geträys
de, die andern 5) Klippen haben wir auf der lincken Hund, wiewol gar ſehr na-
be, gelaſſen.",Z255430508
recogito-ceaa4794-8cde-4333-a7a7-c40b487d2d57,subheading,37,"Das V. Capirel.
Von dem Grbrauc ter Contumacia,",Z255430508
recogito-ca8a9c6c-12d2-4f54-a032-b904642b78db,plants vegetation 25G|animals 25F|wine|wine 41C711,38,"Die Einivohner ſind mit Gewehr
wohl verſehen, auch bauet es alba ſehr guten und ſtarcken griechiſchen Wein,
welcher, wenn er geråth, in die 18000.groffe Faſſe giebet. Die Delbäume, wenn
fie wohl zuſchlagen, können in die 13000. Faß Del einbringen. Die kleinen Rios
ſinen ſind häufiig zu finden, daß, ſo ein gut frudytbar Jahr iſt, 10. Engliſche Schif-
fe ein Jahr lang alda können beladeu werden, von Korn aber, Vieh und ans
dern Sachen, was ſie bedürffen, kommt ihnen aus Türckey gnugſam zu.",Z255430508
recogito-d726b3a9-8684-4150-8151-6b63562b55b9,plants vegetation 25G,38,"Dieſelbe iſt ſchön und eben, und unten voller Delbäume und kleiner Roſis
nen- Sträucher, auch ſind in der Veſtung über 70. Stůck Geſchůş.",Z255430508
recogito-05345bc0-7e63-43d5-909b-5b174d77d2d4,pages,38,--- 00039_page39.txt ---,Z255430508
recogito-d0f500dc-779d-4ef7-a23a-115b182577c4,plants vegetation 25G|animals 25F|wine 41C711,39,"In dieſem Land ſind gelegen die vor deſſen
zu Zeiten der heiligen Alpoſtel und ihrer reinen Nachfolger, berühmten Städte,
3) Corinthus. 4) Lacedæmon, ſo auch Sparta genennet worden, und s) Athen,
iſt überaus fruchtbar, an Korn, Del, Seide, Wein und Viely, welches man in
groſſer Menge drinnen findet.",Z255430508
recogito-40b99916-0c53-47dd-bf9f-2f1f3d372a36,plants vegetation 25G|wine 41C711,41,"Sie hat einen gar fetten fruchtbaren Bos
den, dabas Korn, und forderlich der Weißzen in 40. oder manchmal wenig Tage
drůber, zu vollkommener Höhe koniet, und hernach kurs drauf geſchnitten werden
tan. Sie giebt auch Del und Wein, Silber und den beſten Schwefel, als an eis
nem Orte gefunden werden mag. An theils Drten ſoll das Erdreich dieſer Ins
ful die Art haben, daß, wenn man eine Grubemacht, ſie ſich ſelbſt ohne Menſchen
Beyhülffe wieder füllen, und gleichſam, als eine Wunde, ausheilen fou.",Z255430508
recogito-fb5de962-6e4f-4b3b-b30b-08eb9c4afd01,plants vegetation 25G,41,"Den 6. Octob. haben wir guten Wind gehabt, und
haben im vorber Segeln zur lincken Hand geſehen 12) Romagniam, auf der
Rechten aber, wiewol von ferne, die Infulen 13) Cervo, 14) Termia, 15) Sia,
16) Silia, 17) Sonſula, 18) Diſchir, und 19) Tolburo. Werden von Griechen,
foder, der Türcken Unterthanen, bewohnet, ſind ziemlich groß, und bauen Ges
träyde.",Z255430508
recogito-948fc5b0-1fa4-4e3d-8bde-c3f5c08d80c2,plants vegetation 25G,42,"Das( and iſt an ſich ſelber gar fruchtbar, und hat keinen Mangel an aller-
hand nothdürftigen Früchten. Man hat mich für gewiß berichtet, daß man den
Amiantſtein drinnen finde, welcher ſo zubereitet werden kan, als wenn er geſponnen
wåre. Und die Leinwand, ſo davon gewebt wird, wird nicht geniaſúzen, wenn ſie
unrein worden, ſondern wird ins Feuer geworffen, und dadurch geſäubert, und wie-
der rein und ſchön.",Z255430508
recogito-c6186c34-78c4-443e-bbc9-caf568f2582f,animals 25F|beasts of prey predatory animals 25F23LION|hoofed animalGOAT 25F24|snakes 25F42,44,"In Lycia iſt berühmt der Berg
Chymera, auf welchen zu oberſt komen wohnen, in der mitte geben Ziegen und
Bode, und unten iſt er um und um voller Schlangen.",Z255430508
recogito-1de3cf86-e167-4e8e-be48-d1613a42f109,plants vegetation 25G,45,"Zu unſermOlůck aber waren die Maſtbåume oben abgelaſſen, ſonſt hätte ſie leicht
der ſtarife Wind herunter fchlagen, und das Schiff damit zerſcheitern können.",Z255430508
recogito-0b85246f-fa9d-4df4-aee9-827872a4a16b,plants vegetation 25G,47,"Ohngefehr eine Stunde hiervon,
ſoll auch der Pallaſt des Königs Priami geſtanden haben, in lauter ſchönen Wies
ſen an einem Porberbaum- Walde, iſt aber nichts mehr davon zu ſehen, als ein
Hauffen zerbrochener ſchwarzer Marinol, aufs fleißigſte poliret, und ſonſt viel
zerbrochene Seulen und Bildwerck von Marmel.",Z255430508
recogito-63a9fe3b-2f26-4566-8ae5-5c07c70d660e,pages,48,--- 00049_page49.txt ---,Z255430508
recogito-904e21c6-6e9f-4225-bf96-b6d2a9f8c435,plants vegetation 25G,50,"Sonderlich iſt uns ein Garten am fchwarzen Meer, und darinnen ein ural-
tes, von auſſen ganz mit Graß überwachſenes Gewölbe, in dicken Sträuchern,
von unſern Janitſcharen gezeiget worden, darinnen die Sieben- Schläfer ſollen
gelegen ſein, und inuß man durch ein enges Loch hinein kriechen. Und wenn man
hinein kommt, ſo iſts gant finſter, und ſind ſieben unterſchiedene Winckel dars
innen. Ich, meines theils, halte aber vielinehr dafür, daß vordeſſen ein Einſidler
drinnen gewohnet.",Z255430508
recogito-519d4a03-8f68-4b10-b2b0-034cf5c3b299,animals 25F|cattle 47I21|molluscs 25F72|plants vegetation 25G|wine|fishes 25F6,50,"Nadidem ich nun über 8. Tage bey dieſem franzöſiſchen Paſteten- Kocheges
legen, und viel Geld anworden, habe ich, diefes Orts Gebrauch nach, einen eiges
nen Koch um ein Geringes, durch meinen Niederländer angenommen, und habe
alſo viel um ein teichters, als im Wirthshauſe auskommen können, ob ich gleich
neben mir 2. Perſonen zu unterhalten gehabt, denn die Victualien gar um einen
leidlichen Werth, zubekommen ſind, und gilt die Occa Rindfleiſch, fo an unſerm
Gewichte auf anderthalb Pfund kommt, 3. Afper, die machen einen Groſchen.
Ein Occa Weins, ſo groß Maaß, welcher überaus gut, füſſe und ſtarck iſt, gilt
6. bis 8. Alper, das Brod iſt auch ſehr gutes Kaufs: Fifche und allerhand edle
Früchte, von Lemonien, Zitronen, Pomerangen, Granatapffem, Feigen, Zibes
ben, und was man ſonſt erdencken kan, alles ſehr wolfeil, darüber ich mich zum
allerhódyten verwundern múffen. Von Auſtern kan man das hundert für 6. Afper
baben, da in der Chriſtenheit, ſonderlicy wo Hofſtadten ſind, das hundert oft um
6. bis 8. Gulden bezahlet werden muß.",Z255430508
recogito-60d4f6dd-8c3b-48a6-a8d1-748b7b3c0420,pages,52,--- 00053_page53.txt ---,Z255430508
recogito-7ef1db4a-cabc-44cd-aeae-5bb1823241e2,plants vegetation 25G,53,"Sonſt aber hat Conſtantinopel viel feere Praße, unter welchen ihrer viel mit
Cypreſſen- und andern fruchebaren Bäumen ausgeſeket ſind, welches denn der Stade
gar einen anmuthigen Wohlſtand giebet,",Z255430508
recogito-7fec9df1-e996-4abd-8729-3e3d640121a2,pages,54,--- 00055_page55.txt ---,Z255430508
recogito-4dccbff9-0e4c-443e-8ca0-3e52cbc3c012,pages,55,--- 00057_page57.txt ---,Z255430508
recogito-73994117-a17b-437a-bdf1-5851c1c519b3,animals 25F|horses and kindred animals 46C1314,57,"Dieſer Hof wird genennet auf Türckiſch Admeidan, auf Teutſch ein Roß-
Plak, darum, weil die Türdiſchen Spahilar, das ſind der Türcken Soldaten zu
Roß, an ihrem Sabbatly, ſo den Freytag fållet, fidh mit Rennen und Stechen dar-
auf exerciren. Solcher Plak iſt über 400. Schritte lang, und 200. breit, von
welchem unterſchiedene Stiegen und Thüren hinauf auf vorgedachte Kirche geben.",Z255430508
recogito-52b8bb77-e122-4e1b-9da4-58739beb80a7,animals 25F|snakes 25F42,57,"Auf dieſem Plake ftehet ein groſſer Marinelſteinerner Pyramis, von allerhand
ausgehauenen Egyptiſchen Characten, und iſt aus einem gangen ſtücke Stein von
Marmel, in die 30. Elen hoch, ſtebend auf vier groſſen runden Kugeln von mes
tall, darunter ein lyolyes, ſchönes, mit allerhand Figuren ausgehauenes Marmelſtei-
nern Poſtament. Nidt weit davon iſt eine andere Seule von Erk, ſo ganz ge-
wunden, mit 3. Sælangen- Köpfen, ohngefehr zwey Mann hoch, und nebſt dieſer
ſtehet eine gar hoke, von Marmelſtein aufgeführte ſehr alte Seule, welche,
wie man ſagt, der Satan aufgebauet haben ſoll, unter währender Zeit, ebe der oben
gedachte Marmelſteinere Pyramis iſt aufgeführet worden, und iſt hoch zu verwun-
dern, wie eine ſolche groſſe ſdywere laſt hat aufgeridytet werden können, denn ſie iſt,
wie ich ſie ſelbſt gemeſſen, in die 40. Ellen hoch, und aus einem einigen Stücke
Stein.",Z255430508
recogito-16ce6f11-5609-4920-a48d-81ce85f0e3ed,animals 25F|snakes 25F42|worms 25F73,58,"Uber dieſe iſt auch noch eine runde hohe marmelſteinerne Seute zu ſehen, auf
welcher oben ein ſteinerner Kaſten, und iſt dieſelbe zu dem Ende allda aufgerichtet
worden: Als eines Türdiſchen Kayſers Gemahl einsmals den elenden Zuſtand eis
nes tedten Menſchen, ſo im Grabe von Schlangen und Würmen verzehret werder
muß, bei fidy betrachtet, hat ſie ſich darüber heftig entſeket, und deßwegen ángeord-
net, wenn ſie ſterben würde, folte man ſie nxit dem ſteinern Sarge auf eine felir hohe
fteinerne Seufe fiken, dainit ſie für den Schlangen und anderın Gewürme mögte ſie
cher fenn, und von ihnen nicht verzehret werden, welchen ilrem Begehren auck, nach
ihrem Tode, ein Genügen geſchehen.",Z255430508
recogito-e7548fe5-e2df-4839-a7fd-ddfff886c031,animals 25F|snakes 25F42,58,"Es ſind aber die Sdtangen wunderbarer Weiſe die glatte marinelſteine Seik-
te hinauf zum Sarge gefroden, und den todten Cörper zu verzehren gefuchet, moet-
ches ja cilie augenfcheinliche Straffe GOttes gewefen, der verzweiffelten Hoffareh,
damit ja wahr bleibe, was GOttes Wort faget: GOtt widerſtehe denten Hoffàrti-
gen, aber denen Demüthigen gebe er Gnade.",Z255430508
recogito-5d4d8e79-e120-4dfc-854b-d2b259aad33d,plants vegetation 25G,58,"Jedem Tag giebt man einem jeg
lichen zwen Brodtlein, und fein Getráncfe von Gerſtenwaſſer geinacht, und des
Jalyrs gwen Kleider. Damit mußer das erſte Fahr zufrieden feyn. Das andere
Jahr bekommt ein jeder des Tages noc, einen Afper darzu, und der wird folgends
alle Fahr mit noch einen Aſper verbeſſert.",Z255430508
recogito-33074773-2ebc-4bbd-8e5f-916d05d29860,pages,58,--- 00059_page59.txt ---,Z255430508
recogito-04d024ad-bc81-4683-b9c9-aec3578700b2,subheading,59,"Das VI. Capirel.
Wie Contantinopel an die ungläubigen Tůrden kommen.",Z255430508
recogito-18e9ce33-daa0-4af1-8cff-e107ff81d27f,animals 25F,60,"Dren ganger Tage ward geplündert, gewürget, ges
fchåndet, und fo Barbariſch haußgehalten, als wenn nicht Menſchen, ſondern lau.
ter grimmige Thiere und unſinnige Leute hinein kommen waren, bis ein jeder fein
Müthgen wohl gekühlet.",Z255430508
recogito-43480a01-6e3f-4beb-8263-cb0d58f25b52,pages,60,--- 00061_page61.txt ---,Z255430508
recogito-e461e3ec-4b34-428c-ac52-df28402b360f,animals 25F,61,"Kanſer
Conſtantinum ließ er untern Todten ſuchen, ihm den Kopf abbauen, auf eine
Bieque ſtecken, und zum Spectacul im Lager, und in der ganzen Stadt herum tras
gen. Des Kanfers Gemahlin und Fråulein, ſo fchon mannbar war, und ſonſt viel
Fürſtlich- und ander vornehmes Frauenzimmer, das noch am Leben war, ließ er ins
angeſtellte Panquet holen, und gab ſie, da alles toll und voll war, ſeinen Baſſen und
Kriego- Obriſten Preiß, die erſt allen Mutlwillen, Schande und leichtfertigkeit mit
ihnen, mehr als Viehifch, trieben, und hernach unbarmherbiger Weiſe niederhies
ben.",Z255430508
recogito-b9ae13de-efc8-4b23-bdd9-da16abd32389,subheading,62,"Das V. Capitel.
Von Beſchreibung des Meeres zu Conftantinopel.",Z255430508
recogito-a6efe412-2f30-4631-af21-b64fa49c3e0f,animals 25F|fishes 25F6,63,"An dieſeun Ufer folt nun der groſſe Wallfiſch
den Propheten Jonas wieder ans Land gefepet haben, wie Joſephus im 11. Cap.
des 9. B. von den alten Jüdiſchen Geſchichten ſchreibet. Wenn er nun zu Joppen,
oder Jaffa verfdylungen werden, wie drunten im 17. Cap. des 7. Buchs des 3. Theils
gedacht wird, fo wäre der Wallfiſch mit Jona in den dren Tagen und Naczten zum
wenigſten drittehalbhundert Meilen fortgeſchoſſen, in jeglicher Stunde in die vier
Meil Wegs, denn er ganz klein Afien umſchwiminen, und durchs Euxiniſche Meer
vor Conſtantinopel vorbei, durch den Boſphorum, und alſo ans Euxiniſche Ufer
treiben müſſen. Das iſt mir eine wunderbare Schiffahrt geweſen. Da ſehe man,
was GOttes allmådytige Hand thun kan.",Z255430508
recogito-585df939-35d6-4160-b7ea-98523bbbf310,title,64,"Das fünfte Buch..
Sált in ſich meine Reiſe von Conſtantinopel durch Thra.
ciam( icke die Romaney genannt) und Ungarn hinduro nader
Wien in Deſterreid), und was unter Wegens mit vorgangen.",Z255430508
recogito-e0d21478-4c4b-48c9-a72b-abc1fb9c0693,subheading,64,Das erſte Capitel.,Z255430508
recogito-2c0c4ec6-9003-4ca5-b3cf-417bd547786a,pages,64,--- 00065_page65.txt ---,Z255430508
recogito-1b414859-67e7-4ae8-97cd-76d290d8af27,animals 25F|horses and kindred animals 46C1314,65,"Es hat aber gedachtes Käyſerl. Reſidentens Beförderung unter andern
auch dieſes gefruchtet, daß mich weder Poft Ruſle, noch andere Speeſen anders
gekoſtet, als daß ich dem Túrifiſchen Tſdaufhen 3. Ducaten, dem Curier 10.
Reichsthater, und unter Wegens dein Poftillionen ein Trinckgeld verebret, das
mit ſie mich mit guten Roffen verſelen mögten.",Z255430508
recogito-f05ababc-48dc-443b-926c-e72d069c879c,animals 25F|horses and kindred animals 46C1314,65,"Von dar ſind wir mit friſchen Pferden koramen 5) nach Muſtafabafcht
ſchopri, allwo abermals eine neue, und zwar die fünfte Poſt, da wir denn friſche
Pferde bekommen, und 6) nach Haſpai, welches die rechſte Port, gangen, und
brauf 7) rady l’hilippopoli, die ſiebende Poſt.",Z255430508
recogito-768ac194-eb92-4110-b6e9-3e88f12ccb9f,animals 25F|horses and kindred animals 46C1314,66,"Und nachdem wir abermals allhier unſere Koſſe geändert, und vor unſere
erinůdete friſche bekommen, ſind wir 8) nady Tartarbaſſartſchitz gangen, welches
die achte Poſt: Weiter mit friſchen Ruſſen 9) nach Ichtiman, allwo auch eine
Poſt, und zwar dieg. geweſen, deßhalben wir uns aberinals mit friſchen Pfe: den
verſehen, und geritten ſind bis 10) nach Sophia, welches eine groſſe Stadt iſt, im
Königreiche Bulgaria gelegen, wovon drunten im 12. Cap. Bericht erſtattet wera:
den ſou.",Z255430508
recogito-46e4bd3e-351e-4db1-b092-c5cad769f247,pages,66,--- 00067_page67.txt ---,Z255430508
recogito-df3bfa92-7c4b-4797-b1a3-8bce8e0edae6,subheading,67,"Das III, Capicel.
Von der Reiſe durch Ungern auf Wien.",Z255430508
recogito-cf9e686d-061a-4343-8000-93f4dfab619d,animals 25F|cattle 47I21|horses and kindred animals 46C1314,67,"Der alte Kayſerliche Reſident am Tůr-
diſchen Hofe zu Conſtantinopel ſchreibt, er babe allda noch eine alte Můnge gefun
den und eingewecfelt, darauf gepregt geweſen ein Römiſcher Soldate, zwiſchen eis
nem Ochſen und Pferde, und drüber das Wort TAURUNUM.",Z255430508
recogito-d2a15ce5-194f-408b-8b25-18a48e08f798,animals 25F|horses and kindred animals 46C1314,67,"Von hier haben wir von Türdiſchen und unſern Unterthanen Wagen bes
kommen bis nacher Wien, und ſind demnach alſo zu Wagen kommen von Gries
chiſch Weiſſenburg 1) auf Pegeba, 2) auf Mitrowiz, 3) auf Okowar, 4) auf
Oſiek, welches eine Stadt, ferner 5) auf Pernowars, 6) auf Mochatfch, 7) auf
Patoſſek, 8) auf Tona, 9) Fodwar, 10. Tſchoan, 11) Kordera, alsdenin 12) auf
Dfen.",Z255430508
recogito-98517eb0-00dc-4a33-a3f8-aa492bd7fb69,animals 25F|beast of prey predatory animals 25F23WOLF,68,"Die
gute Königin Imiſte fiche gxfallen laſſen, und wandern, and Solymannus iſt bis
dato nodi Herr darinnen, und bat Kirchen und alles nach feinen Greueln refore,
iniret und spändert .. Gnads: Gott, wer drix Wolffe frauen folla",Z255430508
recogito-5d317c63-b3b5-4a57-84a8-3a66205a3816,animals 25F|pig 25F24|fowl cock hen chicken etc 34B232,68,"Es gibt alldai
viel warme Badei, fanderlich iſt eins van fo: heiſſen Quellen, daß dien Schweine,
Hüner und Ganfe drinnen Brühen fin ..",Z255430508
recogito-e1f273c3-735d-4fa1-b6b4-04b97c032b87,pages,68,--- 00069_page69.txt ---,Z255430508
recogito-52648cb0-3aee-4367-b51a-681a6864155e,plants vegetation 25G|wine 41C711,69,"Von dannen ſind wir aufgebrochen, und 13) nach Gran kommen,
welches abermals eine Veſtung, und vordeffen eine Erg- Biſchofliche Stadt gez
weſen, runniehr aber gleichfalls dem Türcken zu theil worden. Lieget auf einem
bohen Feifen, und unten am Schloß- Berge das Stadtlein, auch veft und gut
verivahret, und giedt viel Beinidachs, und andere Fruchtbarkeiten aida.",Z255430508
recogito-54eeab54-ca2a-41e2-978f-98a722517085,subheading,70,"Das Erfte Capitel.
Von der Gelegenheit und anfellung zu ſolcher Reiſe.",Z255430508
recogito-b0fc14c6-dee9-471d-9b9d-1cdf898f06da,subheading,71,"Das II. Capitel ..
Von unſerm Aufbruch nnd Fortzug von Wien.",Z255430508
recogito-24b57029-693d-4728-a615-b17f5f2f1d6d,animals 25F|fowl cock hen chicken etc 34B232,73,"Dieſen Tag haben wir auch mit Ihrer Excellenz die warmen Bade, eine
Viertel- Meile von der Stadt, beſchen, då denn dieſelbe, und viel Cavalier und
Officier gebadet. Sind vor Zeiten mit Bley bedeckt geweſen, inwendig von
lauterm Marmel. Das Waſſer iſt von Natur ſo heiß, daß man eine Henne
drinnen brühen, und Ener in geſchwinder Eil garſieden kan, und fleußt endlich in
die Donau, welche hart dabey wegfleußt.",Z255430508
recogito-f1c71655-9549-4565-9fc5-0f0346ff4fcd,plants vegetation 25G|wine 41C711,74,"Dieſes Tolno, oder Tolna, Altinium, ſoll vor deß eine wohlbewohnte und
berühmte Stadt geweſen ſeyn, wegen ihres kóſtlichen weiſſen Weins und
der Inwohner Freundlichkeit, und iſt am Ufer der Donau unterhalb Fünfkir:
dhen, und 16. Meilen unter Ofen gelegen.",Z255430508
recogito-2ae8c6d2-0f26-47a2-a40d-faf3e5539c70,pages,74,--- 00075_page75.txt ---,Z255430508
recogito-de487ae1-37f0-4a2f-86eb-8822d15d76ef,animals 25F|other mammals 25F26RABBIT|fowl cock hen chicken etc 34B232,75,"Den 6. Febr. ſind wir früh um 7. Uhr von hinnen wieder abgereiſet, und
Mittags zwiſchen u. und 12. Uhr 7) nad Dowarnick, ſind 3. Meilen, kommen.
Den 7. Feb. ſind wir frúb mit Anbruch des Tages, jo ungefehr um 6. Ulir gewes
fen, wieder Nieiſefertig worden, und Mittags um 12. Uhr 8) auf Mizrowitz
ankommen, welches 5. Meilen. yier iſt alles um ziemlichen Preiß geiveſen, als
ein Haaſe um 2 Aſper, eine Henne 4 Afper, 2. Unſer Wirth, ſo ein Türcke war,
bat dein Herrn Grafen eine Gans verehret, welches, weil die Türcken ſonſt ges
waltig Geldgierig, und ohne Geld wenig vergeben, man für ein groß Præfent
Yalten müſſen, wie geringe es auch an ihm ſelber geweſen.",Z255430508
