document,barcode,page,iiif_link,text,annotation_id,_score,rank,unpacked_highlights,onb_viewer_link
Z166069305_274,Z166069305,274,https://iiif.onb.ac.at/images/ABO/Z166069305/00000274/full/full/0/native.jpg,"246 MO LIM 08 Ein und zwanzigstes Capitel. m2 IAS *** Beduinen Vogel Boghas Thurin von Canopus Abu- Mandur Weintrauben Wuste Schakals- Eided sen Insekten Schlange Scwierigteiten in Betreff der Pyras mide von Abukir Meinung der Aegypter uber Reisende. ul - Nach meiner Ruffehr von A bufir wunschte ich alle an der Mundung des Nils den Bogbas, der wegen seiner Gefahren und Schiffbruche so beruchtigt ift, zu besehen. Der Viceconsul, rein Drogman und ein fran. sofischer Kaufmann wollten mich begleiten, und wir tras ten unsere Reise auf Efeln an. Wir machten in den Garten oberhalb dem Schloffe balt. Hier hatten Bedula nen Araber ihr lager aufgeschlagen; ihre Zelte waren weder gros noch weniger gut: fie verriethen den elenden Zustand derjenigen, denen sie zum Schuge dienten, Die Frauen bedecken fich das Gesicht nicht, wie es die Weiber der andern in Aegypten wohnenden Volker thun, Das Frische der Jugend machte die weniger Bejahrten unter ihren noch ziemlich interessant, ob ihre Haut gleich etwas dunkel gefarbt war: fie schienen ziemlich gefadig fu fenn. Wir wurden bald von diefen Weibern umzingelt, die uns um eine Gabe ansprachen. Sie waren mit einem",recogito-a5b12bfb-3a78-46ac-8d62-73d5bf4425c9,N/A,N/A,"Der Viceconsul, rein Drogman und ein fran. sofischer Kaufmann wollten mich begleiten, und wir tras ten unsere Reise auf Efeln an.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000274&view=SINGLE
Z166069305_276,Z166069305,276,https://iiif.onb.ac.at/images/ABO/Z166069305/00000276/full/full/0/native.jpg,"248 1 fchwemmt hatte, schlupfeig, tothig und mit Graben durch. schnitten. Unsere Esel Fielen nieder, sanken in den Moraft und liesen uns oft im Wasser oder im Kothe fiken. Niemand war von diesen kleinen Unfallen noch von den wechselseitigen Spottereien verschont, wozu jene Geles genheit gaben. Endlich langten wir an der engen und To gefurchteten Paffe der Barre an, die den Nil versperrt. Es sturmte anf der offenen See, und das Meer brach sich hier wuthend, und schlug tobende mit Schaum und Sand' bermischte Wellen. Wir fahen noch den obern Theil von den Maften zweier Schermes, die vor einigen Lagen hier zu Grunde gegangen waren, und am Ufer trafen wir Schiffer an, die damit beschaftigt waren, die Leichname einiger von ihren Gefahrten abzuhohlen, die das. Meer ans Land geworfen hatte. 01 Das Ufer ift niedrig und besteht ganz aus Sand: es war mit einer Menge Waffervogeln, z. B. archgrauen Moven, Seelerchen, Fischreihern*)#. f. w. edekt. Diese lezs tern waren vorzuglich wild: man konnte sich ihnen nicht nahern. Den Tag darauf besah ich eine halbe franzofische Meile im Suden von Rachid einen Shurm, den man den Thurm von Canopus genannt hat, weil man falschlich angenommen hat, die Stadt Rachid ftehe auf der Stelle des alten Canopus. Dieser Shurm ift in neuern Zeiten auf einem kleinen Sandberge erbauet worden, der an dieser Stelle das westliche Ufer des Nils aus. macht. Er ist viereckigt; war halb niedergerissen und das Uebrige drohte ben nahen Einsturz. In der Liefe zeigten mir die Bewohner dieses Bezirkes die Deffnungen zu einem unterirrdiccheu Sange, der, wie sie glaubten, bis nach Alexandrien fuhre. *) Ardea cinerea Lin. Beron commun. Buffon. 1",recogito-ceed7937-1824-4222-ba6c-686b2b4d7738,N/A,N/A,"Unsere Esel Fielen nieder, sanken in den Moraft und liesen uns oft im Wasser oder im Kothe fiken.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000276&view=SINGLE
Z166069305_382,Z166069305,382,https://iiif.onb.ac.at/images/ABO/Z166069305/00000382/full/full/0/native.jpg,"354 Funf und zwanzigstes Capitel. Ubreise von Raschid- Beduinen Uebereinkunft mit den Arabern Aufstand zu Abukir Kusten zwischen Abukir und Alexandrien wilde Ochsen Folge des Aufstandes zu Abukir Inschrift Beduinenlager Camele- Unruhe in dem { ager Gastfreiheit und Sitten der Beduinen besondere Meinung dieser Beduinen, Araber antis fer Wurfel. - E 1 I 2 # 1 Meine Abreise war auf den 29ten Dezember festgefeztu Wir hatten Maulefel, womit man gewohnlich auf dem Wege nach Alexandrien reist, und ein Cameel, um unser Gepacke fortzuschaffen, das in zwei schone Caffas ( eine( dhone Art von grosen bedekten Korben) eingepakt war, die man dem Cameele an die Seiten hangt. Der Consul befahl seinem Janitscharen, inich bis nach Ubukir zu begleiten, wo ich Mittel zu finden hoffte, in die Wufte Nitrie reifen zu konnen. Um neun Uhr Mors gens brachen wir von Raschio auf. Wir fanden diesmal auf dem See a adie ein bequemes mit einem Verbecke verfehenes Fahrzeug. Eine halbe Meile jenseits dieser alten Nilmundung war ein kleines Beduinen- lager aufgeschlagen. Die Beduine'n rezten uns, wie es Sitte ift, Wasser vor und drangen sehr in uns, die Nacht unter ihren Zelten zuzubringen. Einige Tage vorher hatten euro pa isde Kaufleute, die mit ihren I",recogito-94d76c3d-1115-4a4e-91b5-501f6e88de65,N/A,N/A,"Wir hatten Maulefel, womit man gewohnlich auf dem Wege nach Alexandrien reist, und ein Cameel, um unser Gepacke fortzuschaffen, das in zwei schone Caffas ( eine( dhone Art von grosen bedekten Korben) eingepakt war, die man dem Cameele an die Seiten hangt.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000382&view=SINGLE
Z166069305_387,Z166069305,387,https://iiif.onb.ac.at/images/ABO/Z166069305/00000387/full/full/0/native.jpg,"559 parva zum Unterschied einer andern gleichnamigen Stadt) gehoriger Ort. Antonius vergas daselbfi oft in den Hermen der Wollust die Grose des romischen Namens, und tauschte reinen Ruhm gegen die Reize der schonen und wollastigen Cleopatra aus. Die ganze Kuste besteht aus kleinen Sandbergen, hinter denen ein tiefer, oft uberschwemmter Boden einige Strecken last, die man zum Anbauen benuzt hat. Nachdem ich in einer Weite von zwei Kanonenschus- ren von Alepandrien unter dem Schatten einiger Dattelbaume ausgeruht hatte, kehrte ich nach a butir guruk. Idh gieng vor zwei bis drei Beduinenzelten vorbei: fie hielten einige wilde Ochsen, die man sehr jung gefangen und daher eben so zahm als die gewohnlichen Ochsen gemacht hatte: einige Schattirungen der Farben ausgenommen, hatten sie viel Aehnlichkeit mit dem Zebu, den Buffon beschrieben hat*). Bei meiner Rukkunft nach Abukir fand ich die Gahrung noch hoher gestiegen als bei meiner Abreise. Niedertrachtige und richandliche Menschen, unverschamte vingeber, fagten aus, sie hatten mich mehrmals des Nachts in ihrer Nachbarschaft ankommen, meine Erel mit Geld beladen und sogleich wieder abreisen gesehen. Es brauchte nichts mehr, als dies, um den Aufruhr auf den hochsten Grad zu treiben. Sie kamen uberein, die Camele, die die Beduinen herbeischaffen sollten, mit ihren Reich- thumern beladen zu lassen, dann uber uns herzufallen und uns zu ermorden, um die Schase wieder zu erhalten, die wir ihnen rauben wurden. Dieser Anschlag, der meine Gefahrten in Schrecken rezte, berubigte mich sehr: ich war uberdies entschloffen, mich nicht ungestraft angreis fen zu lassen. Den Tag darauf hohlten mich die Beduis nen init ihren Camclen ab: ein blodfinniger und zugel: 3 sil *) Naturgeschichte der vierfusigen Zhiere.",recogito-995c9029-3950-44cb-a7c7-e6f91a96ecf7,N/A,N/A,"Bei meiner Rukkunft nach Abukir fand ich die Gahrung noch hoher gestiegen als bei meiner Abreise. Niedertrachtige und richandliche Menschen, unverschamte vingeber, fagten aus, sie hatten mich mehrmals des Nachts in ihrer Nachbarschaft ankommen, meine Erel mit Geld beladen und sogleich wieder abreisen gesehen. Es brauchte nichts mehr, als dies, um den Aufruhr auf den hochsten Grad zu treiben. Sie kamen uberein, die Camele, die die Beduinen herbeischaffen sollten, mit ihren Reich- thumern beladen zu lassen, dann uber uns herzufallen und uns zu ermorden, um die Schase wieder zu erhalten, die wir ihnen rauben wurden.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000387&view=SINGLE
Z166069305_394,Z166069305,394,https://iiif.onb.ac.at/images/ABO/Z166069305/00000394/full/full/0/native.jpg,"366 Das Lager stand etwan einige hundert Fus von dem Canal von Alerandrien entfernt. Die Beduinen hatten rein Wasser durch ihre Arbeiten abgeleitet, und eine ziemlich grose Strecke unfruchtbaren Landes fruchts bar gemacht. Man bauete verschiedente Arten Viehfutter darauf, und man rah auch daselbst Pferde, Camele, Hammel und einige Ochsen weiden. Wenn man der Unterscheidung folgt, die Ariftote. les und Plinius zwischen den zwei Arten von Thieren, die die Natur felbft durch einen fortdauernden und sehr 4 > 2 1 0 11 dung und Obdach, und der Verkauf und der Tausch ihres uberflusigen Viehes verschafft ihnen die andern nothwendigen Lebensbedurfnisse. Verschiedene lieben die Jagd; alle aber sind gute Nieuter. Viele von ihnen machen haufig Streifereien auf ihre Feinde, und Feinde find' ihnen alle diejenigen, die nicht ihre Bruder, Bundesgenoffen oder Schujverwandte find. Oft rotten fie fich zusammen, uberfullen die Caravanelli, plundern sie und lapfen dem ungluklichen Reisenden nichts wei. ter als das Leben ubrig. Ihre Lebensart zwingt sie, von einem Orte zum andern zu ziehen. Sie find bald in der Wuste, bald an dem Ufern des Flusses. Dianche Stanne kommen nur gegen den ublauf des Wassers aus weit entfernten Gegenden des innern Afrikas oder aus Arabien der reichlichen Futte: rung wegen an den Nil, und halten sich nur eine Zeitlang an feinen Ufern auf;- andere bleiben das ganze Jahr lang inner- halb der Grenzen Hegyptens, und ziehen der Weide nach. Bisweilen sezt fich ein Stamm durch Gewalt oder Vertrag in den Besiz groserer und kleinerer Landereien, bestellt die Decker und verlast sie wieder, wenn die Erndte vorbei ist: Oftmals erndten sie, wo sie nicht gesaet haben. Alle beobachten unter sich Telbst gewisse festgesezte Grenzen, die sie nie, ohne Fich der Gefahr eines Krieges auszuseken, uberschreiten durfen. Man nimmt an, sagt Boinen, das die Beduinen in Uegypten 70,000 Neuter ins Feld stellen konnen, die aber sehr zerstreuet leben und unter fich uneinig sind.' Maillet berechnet die Anzahl der agyptischen Beduinen auf ungefahr 2 Millionen, "" von denen fich aber Einige nur einige Monate lang daselbst aufhalten. Der Ueberseker. 0",recogito-b8a8f0ea-926e-4d89-b21d-e89e69a35c2f,N/A,N/A,"Das Lager stand etwan einige hundert Fus von dem Canal von Alerandrien entfernt. Die Beduinen hatten rein Wasser durch ihre Arbeiten abgeleitet, und eine ziemlich grose Strecke unfruchtbaren Landes fruchts bar gemacht. Man bauete verschiedente Arten Viehfutter darauf, und man rah auch daselbst Pferde, Camele, Hammel und einige Ochsen weiden.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000394&view=SINGLE
Z166069305_399,Z166069305,399,https://iiif.onb.ac.at/images/ABO/Z166069305/00000399/full/full/0/native.jpg,"1 1 1 , 571 Plinius berichtet nach dem Xenophon, die Camele( und unter diesem Gattungsnamen sind die Dron mebare mit begriffen) konnten die Pferde nicht leiden. Andere haben behauptet, sie hatten ebenfalls einen folch Abscheu gegen die Maulesel und gegen die Efel. Allein die Wahrheit ist, das alle diese Chiere wenigstens in Aegypten und in der Turkei beisammen leben, und mit einander reifen, und das fast immer ein Erel an der Spige einer Reihe beladener Cameele als Unfuhrer steht, an welchen das erste Cameel feft gemacht ist, und ihm Schritt fur Schritt folgt. Andere wiederum haben ber. fichert, mani durfe die Camele nicht schlagen, um sie zum Fortgehen zu bringen, und inan brauche nur zu fingen oder zu pfeifen, um ihren Gang zu beschleunigen. Uns man darf sie wirklich weder zu sehr noch zur Unzeit mig. handeln: sie wurden sich bald widersesen; aber die Fuh. rer der lastcamele haben ein Stabchen, womit sie diefelben schlagen, und die Reitcamcele fuchtelt man mit einem langen ledernen Riemen. Man muntert beide auch mit einem Klatschen der Zunge auf, das jenen unserer Kut. scher ahnlich ist, wenn fie ihre Pferde anfeuern. Ich mus bier auch bemerken, das die Beduinen niemals pfeifen, und das sie es nie leiden, wenn ein in ihren Gebrauchen menig unterrichteter Reisende. in ihrer Gesellschaft pfeift. Von der andern Seite glaube ich, das fie, wenn sie fingen, keine andere Absicht haben, als sich die Langeweile auf der Reise zu vertreiben. Die Sebracr durften nichts von Camele effen*), die Araber aber und die Bewohner Aegyptens, Na 2 Levit. XI. 3.( Michaelis meint, ofe$ habe es desa wegen verboten, um den Israeliten alle Veranlassung zu irgend einer Gemeinschaft mit den benadybarten Beduinen? arabern zu benehmen, weil er die Hebrder zu einemu !",recogito-fe020016-1d51-4a1f-bbc1-d4a65973bf67,N/A,N/A,"Plinius berichtet nach dem Xenophon, die Camele( und unter diesem Gattungsnamen sind die Dron mebare mit begriffen) konnten die Pferde nicht leiden. Andere haben behauptet, sie hatten ebenfalls einen folch Abscheu gegen die Maulesel und gegen die Efel. Allein die Wahrheit ist, das alle diese Chiere wenigstens in Aegypten und in der Turkei beisammen leben, und mit einander reifen, und das fast immer ein Erel an der Spige einer Reihe beladener Cameele als Unfuhrer steht, an welchen das erste Cameel feft gemacht ist, und ihm Schritt fur Schritt folgt.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000399&view=SINGLE
Z166069305_399_1,Z166069305,399,https://iiif.onb.ac.at/images/ABO/Z166069305/00000399/full/full/0/native.jpg,"1 1 1 , 571 Plinius berichtet nach dem Xenophon, die Camele( und unter diesem Gattungsnamen sind die Dron mebare mit begriffen) konnten die Pferde nicht leiden. Andere haben behauptet, sie hatten ebenfalls einen folch Abscheu gegen die Maulesel und gegen die Efel. Allein die Wahrheit ist, das alle diese Chiere wenigstens in Aegypten und in der Turkei beisammen leben, und mit einander reifen, und das fast immer ein Erel an der Spige einer Reihe beladener Cameele als Unfuhrer steht, an welchen das erste Cameel feft gemacht ist, und ihm Schritt fur Schritt folgt. Andere wiederum haben ber. fichert, mani durfe die Camele nicht schlagen, um sie zum Fortgehen zu bringen, und inan brauche nur zu fingen oder zu pfeifen, um ihren Gang zu beschleunigen. Uns man darf sie wirklich weder zu sehr noch zur Unzeit mig. handeln: sie wurden sich bald widersesen; aber die Fuh. rer der lastcamele haben ein Stabchen, womit sie diefelben schlagen, und die Reitcamcele fuchtelt man mit einem langen ledernen Riemen. Man muntert beide auch mit einem Klatschen der Zunge auf, das jenen unserer Kut. scher ahnlich ist, wenn fie ihre Pferde anfeuern. Ich mus bier auch bemerken, das die Beduinen niemals pfeifen, und das sie es nie leiden, wenn ein in ihren Gebrauchen menig unterrichteter Reisende. in ihrer Gesellschaft pfeift. Von der andern Seite glaube ich, das fie, wenn sie fingen, keine andere Absicht haben, als sich die Langeweile auf der Reise zu vertreiben. Die Sebracr durften nichts von Camele effen*), die Araber aber und die Bewohner Aegyptens, Na 2 Levit. XI. 3.( Michaelis meint, ofe$ habe es desa wegen verboten, um den Israeliten alle Veranlassung zu irgend einer Gemeinschaft mit den benadybarten Beduinen? arabern zu benehmen, weil er die Hebrder zu einemu !",recogito-9a41db07-a5c8-4b3f-931a-43418f800768,N/A,N/A,"Man muntert beide auch mit einem Klatschen der Zunge auf, das jenen unserer Kut. scher ahnlich ist, wenn fie ihre Pferde anfeuern.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000399&view=SINGLE
Z166069305_405,Z166069305,405,https://iiif.onb.ac.at/images/ABO/Z166069305/00000405/full/full/0/native.jpg,"377 : Ein Beduine hatte einen kleinen antifen Wurfel ton Bronze, defien Flache neun Linien gros war, gefun- den: er trat inir denselben ab. Die beiden darauf einges grabenen Buchstaben LV. bedeuten wahrscheinlich 55. Sechs und zwanzigstes Capitel. . Reise durch die Provinz Bahire Beduinen Staare Bohnen Damanhur- verbreitete Gerichte uber die Reise des Verfaffers Baum- wolle offentliche Madchen Fortresung der Reise bis in die Wuste klaglicher Zustand der Sandleute Herrliche Ebenen Wuste Haas fen Wogel wilde Ochsen Gazellen, Tiger- Strause. . Nachdem ich den Weibern meines Wirthes einige Kleis nigkeiten geschenkt hatte, reisten wir am iten Januar 1778 um acht Uhr des Morgens ab. Ich bestieg ein sehr schones Pferd, und ich wurde auf demfelben eine grose Strecke Weges zurufgelegt haben, wenn die Camele von der kleinen Race, worauf meine Reisegefahrten ritten, meinen Marsch Durch flyre anserordentliche Langsamkeit nicht aufgehalten hatten. Eine halbe Meile von dem Lager erblikte man gegen Nordwesten auf einer Aubdhe ein Dorf. Es hies Kariam. Wir festen unsere Reise an dem Canal von Alexandrien hin fort, indem wir: fie nach Sustoffen richteten. Auf dieser Seite gab es sehr kleine angebauete Bezirke; das Nebrige aber war blos cine, obgleich weniger durre Sandflache, als jene, die",recogito-3f08cff7-7220-4c5e-9d1f-1b8d4fc92028,N/A,N/A,"Ich bestieg ein sehr schones Pferd, und ich wurde auf demfelben eine grose Strecke Weges zurufgelegt haben, wenn die Camele von der kleinen Race, worauf meine Reisegefahrten ritten, meinen Marsch Durch flyre anserordentliche Langsamkeit nicht aufgehalten hatten.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000405&view=SINGLE
Z166069305_406,Z166069305,406,https://iiif.onb.ac.at/images/ABO/Z166069305/00000406/full/full/0/native.jpg,"378 1 mir den Tag vorher von A bulir aus durchreist hatten: diese Verschiedenheit war ein Zeichen, das ein schreklicher Despotismus und die Barbarei der Bewohner dieres ufer verodet und unfruchtbar gemacht hatten. Das gegenaber- ftchende Ufer gab einen weniger traurigen Anblif: man rah daselbst in einiger Entfernung eine Reihe mit dem Canal parallel laufender Dorfer. 11 * Ich war mit meinem Pferde vorausgeritten, und langte in eisim Dorfe, Namens Berfik, an, an deffen Seite Beduinen von dem namlichen Stamme als Hussein war, ihr Lager aufgeschlagen hatten. Der Scheit fuhrte mich, ohne zu fragen, wer ich ware, in rein Zelt. Ich gab ihm zu verstehen, ich sey ein Frans fore, und sogleich wurde ich von einem Haufen Bedu is nen umringt: fie fahen. inich an, untersuchten- und befuhlten mich, als ob ich ein auserordentliches Werent ware: fie machten so wie diejenigen, die ich so eben vers laffen hatte, das Kreuz mit den Fingern oder bildeten es in dem Sande' nach. Die Weiber wolna mich auch sehen; sie begleiteten aber ihre Neugierde mit vortreflicher Milch, die fie mir mitbrachten. Ich wurde von allen Seiten gedrengt: endlich befreiete mich die Ankunft meiner Begleitung von einer zwar wohlwollenden, aber auzu judringlichen Gesellschaft. 18 rii * 1 Die durren Sandflachen verwandelten sich bei unserm Xustritte aus Berfil in fruchtbare Gefilde, wo es fine ungeheuere Menge Lerchen gab, die in grosen Heers deu umherflogen. 11 wy - Gegen Mittag kamen wir in einem Dorfe oder viel, mehr in drei Dorfern an, die sehr nahe einander an der Seite liegen, und die alle drei den Namen Sent a w fuhren. In ihrer Nahe Fah ich mitten unter Ruhen einen zahlreichen Zug Staare: fie waren die ersten, die ich in",recogito-a16c02e9-16a6-4780-b65e-51510b8db6fb,N/A,N/A,"Ich war mit meinem Pferde vorausgeritten, und langte in eisim Dorfe, Namens Berfik, an, an deffen Seite Beduinen von dem namlichen Stamme als Hussein war, ihr Lager aufgeschlagen hatten.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000406&view=SINGLE
Z166069305_413,Z166069305,413,https://iiif.onb.ac.at/images/ABO/Z166069305/00000413/full/full/0/native.jpg,"385 Dorfern, aber etwas oftlich vom Wege ab, fieht man das Grab eines mufelmannischen Heiligen. Bon Gras gues reisten wir eine halbe Meile nach Sudsudort bis zum Dorfe Dentschell, wahrscheinlich das Done fchal auf Danville's Charte. Den tf chelt milli Fo viel fagen als verschwundenes Gefchirr. Nach der Erzahlung der Landleute, follen ihre Borfahren auf dieser Stelle ein croses Gefas voller Goldstucke gefunden und daffelbe wieder bis auf den andern Tag' hingefegt baben, um es unter fich zu theilen: als sie aber wiedet jurutkamen, fanden Fie weder das Gold mody das Gef& e. Von dieser wahren oder falschen Anekdote kommt nach ihnen der jesige Name ihres Wohnortes her. Ganz an der Seite des Dorfes Dentfchell liegt ein anderes',$ as "" taum von ihm abgesondert ist und das man wegen Feinet uberzwergen Lage, in Beziehung auf Dentschell, da, boirchi, Dueruber nennt. Gegenaber, aber auf ber entgegengerezten Seite des meges, fielt man die Trummern von einem grosen von Erbe erbaueten Dorfe , das auf einer Anhdhe gestanden hatte. Man horte Wachi teln in diesen Gegenden schlagen. > 3 Der Weg fuhrte uns Sus ein Vlertel- Sudoft nach Saft:, dieses Dorf war von drei oder vier mern Dorfern umgeben; hierauf reiften wir eine Viertelmeile #ach Sudost nach den zwei an einander liegenden Dorfern, Schambrenum und fares. Zwifden Saft und Schambrenu mi entdekte ich einen Thaleb, der in einem Getraidefelde lag: sobald er mich naher kommen Fab, stand er auf und gieng fort, indem er feinen Korper und Feine Schritte verlangerte und feinen Schwanz wage recht in die Hyshe hielt. Der Gang dieses Thieres hat viel Yehnliches mit dem Gange eines Fuchses. ?. Wir fahen zwei Beduinen zu Pferde; fie flohen eber o dinell als der Blig fobald fie uns gewahr wurden. onnini Reisen in BD.",recogito-3a1cf968-2b82-48d9-a784-d3a7f5198890,N/A,N/A,?. Wir fahen zwei Beduinen zu Pferde; fie flohen eber o dinell als der Blig fobald fie uns gewahr wurden.,https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000413&view=SINGLE
Z166069305_415,Z166069305,415,https://iiif.onb.ac.at/images/ABO/Z166069305/00000415/full/full/0/native.jpg,"587 nen. Ich ritt auf fie los, aber Hufrein lies mich rufen und bitten, ich mochte diese drei Menschen nicht beunruhigen, fie feyn feine Freunde, ob er gleich zugea stand, das fie Rauber waren. Eine Viertelmeile weit richteten wir unsern Weg nach Sudwest. Ich traf' einen Mamelu ck e'n'offisier an, der midy fur einen Turken ansa), und daber mit Salam Aleikum begruste,( einen Gruse, den man blos on a hommedanern ertheilt) und sein Pferd auf die Seite lenkte, um mir Plaz zu machen. Der Weg geht eine Viertelmeile nach Suden, hierauf eine halbe Meile nach Sudost bis nach Kamfes, das am Ufer eines grosen Canales lag. Ehe wir noch an dieseru Ore anlangten, sahen wir in der Ferne gegen zweihundert Personen, theils zu Pferde; theils zu Fus .. Bir hielten fie fur rauberische Beduinen und inachten uns schon zum Kampfe bereit. Als fie aber naber kamen, fahen wir, das es eine Leichenbegleitung war. Am Wege war ein Trupp Kybite: man konnte ihnen ro nahe kommen, das ich einen davon tobten konnte. Er war von der Art der gemeinen Kybise*). Die Araber nennen ihn Goudguat. Indem wir eine Viertelmeile nach Suden reiften, giengen wir durch Kadus und Abu amer, und hier: auf erreichten wir eine halbe Meile weiter hin den Flecken Biban, wo sich der Kiarchef aufhalt. Alle Montage wurde hier ein betrachtlicher Markt mit Camalen und anderein Viehe gehalten. Wir trafen gerade an diesem Viehmarkte hier ein: er wurde im freien Felde gehalten und wir kamen nur mit Muhe durch die grose Menge von Menschen und Thieren hindurch, die hier beisammen Bb 2 ) Tringa Vanellus, Lin. Vannea, erste Art. Buffon.",recogito-2602d32c-2c40-4add-893c-abfc115b3c38,N/A,N/A,"Eine Viertelmeile weit richteten wir unsern Weg nach Sudwest. Ich traf' einen Mamelu ck e'n'offisier an, der midy fur einen Turken ansa), und daber mit Salam Aleikum begruste,( einen Gruse, den man blos on a hommedanern ertheilt) und sein Pferd auf die Seite lenkte, um mir Plaz zu machen.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000415&view=SINGLE
Z166069305_422,Z166069305,422,https://iiif.onb.ac.at/images/ABO/Z166069305/00000422/full/full/0/native.jpg,"394 7 B dem Hirsche als dem Damhirsche ahnlich ift*), hat nach Sh aw's Berichte **) denselben Namen, Baffar et Merch, in der Berberei: allein der wilde Ochre der Araber in Hegypte# ift fehr von dem Geschlechte des Arisboces verschieden, und ich wiederhole es noch ein mal, das er eine besondere Art von Ochsen ist ***). Ich habe diefe Ochren gewohnlich in Heerden von acht bis zehn beisamen gesehen, die beinahe immer hinters einander Gergiengen, und manchmal ftiu ftanden, um zu spiclen, oder sich mit einander zu frosen. Sie entfernen Fich aber sogleich, fo bald fie Reifende in einer auch noch so grosen Entfernung erblicken. Die Araber verfolgen fte zu Pferde; und manchmal verstecken sie sich auch hin. ter dichte Gestrauche, um fie xu uberfallen, und auf fie zu schiesen. Ihr Fleisch fchmeft gut, und ihre Haut wird wegen ihrer Festigkeit und Dicke gesucht. 1 > Jene artige Art von vierfusigent Thieren, deren Augen man in dem Morgenlande fur Muster schoner Augen halt, die Gazellen, geben in zahlreichen Heerden beisammen, und regen schnell uber die Hugel und Ebenen hin: fie find eben po scheu als Sfe'wilden Ochsen, und die Unnaherung eines fremden Gegenstandes verjagt sie sogleich. Ihre Leichtigs keit und ihre Geschwindigkeit haben nicht ihres Gleichen. Die Natur hat ihnen lange, fchwache und nervige Fuse gegeben, die ihnen zwar ihre Freiheit fichern, aber auch ein Hindernis zu fern scheinen, sie zu zahmeit und Ges? *) Cervus axis. Lin. Axis. Buffon. **) Reisen. ****) Bafar Ward, Bos filveftris. Forskal, Pauna aegyptiaco. 4 arab. pag. IV.- Anmerkung. Forskal hat dieses Thier in den Paragraph gestellt, den er den Thieren ungewiffen Ge- schledytes, incerti generis gewidinet hat, die er niot gesehen hatte.",recogito-63f2c3e0-69a8-4a22-a356-7d0dd570dee1,N/A,N/A,"Die Araber verfolgen fte zu Pferde; und manchmal verstecken sie sich auch hin. ter dichte Gestrauche, um fie xu uberfallen, und auf fie zu schiesen.",https://digital.onb.ac.at/OnbViewer/viewer.faces?doc=ABO_%2BZ166069305&order=00000422&view=SINGLE
