annotation_id,annotated_text,annotation,page,title,onb_barcode,onb_id,iiif_manifest,viewer_link
1770dfc8-e0b5-4275-bd3d-eb8fd2293062,"INSIGNIA AVTHOR IS. NOCES, NOCET ESSE LOCVTVM. . ULLITACVIS ☺ 4 Quadrati lapidis fimilis fit vir bonus in omni tribulatione non cdo dit, fi qua impellitur,& fi quavertitur, non cadit; ftantem te inve. EPIGRAM niat omnis caſus .. i",'image',28,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/28
6dac5265-0eb8-4034-8df6-cb8ed0d35ab7,VON SCHWEIGELTONENTEAM VANGE Youwa Nic Eod Når d( Denda TEAJOSTAL SASVINTIS ONION NI NANGENAAZ NIIN 3,'image',29,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/29
675bf540-43fa-48be-a22a-43fb33cb0ca0,GünBalt oder Regiſter 11 1 Fol ... 2 2 dieſes Reykbucks.,'title',40,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/40
257af025-dae5-4020-8c0f-d7691845ac46,"Erfilich iſt dieſe Renſbeſchreibung im drcy ontcrfchiedene Sauptbücher go theilt/ hernach icoes Bach wider in beſonders Capitelials Das erſte Buch 3ft eine Beſchreibung der Renk von Tübingen nads Wien biß genConſtantinopel/ vnd hat 1 5. Capitel Das 1. Capttel, Comet erf bienen. Are Comorra abaut. Xbroied des Xucborio von da hos Das IV. Capitel. ben Soul zu Tübingen Er tompt gen Regenſpurgo Xbrdbied oon Comorra. Wie Beer Orator vom Tården cm. Bompt gen Lingg. pfangen. Bompe gen Wien Krzeudigten Gragnad der Ordt. Wir verlaffen die Chriffenbelt. nation. Das V. Capitel. Predigender Birde Berreals( Don unfer Ankunfft zu Gran. Anleitung nade Conſtantinopel be: Was der Beg alda 3.6.vcrebret. 18 kommen. 3 Dnfer Tårdid Gwardi, Contrafactur Berrn Joachims von Das V I. Capitel. Singendorff. Er wird zum Drediger nado Con? Der Herr Geſantc reit zum Bree ftantinopel angerommen. gen. Der Beeg gibt audiengg. Das 11. Capitet. De PererOratoris wczbung beym Abrabied des Berrn Oratoris ron Bergen. 4 Beyferligt dreiben an den Beca Antunfft zu Virdhamund. gets Dnfer umdahtouffoemSaif. SISalossagram. Derzeidhnus der Parfonen/ ſo in dieſer Zuftdrtemeuer alda ſeyn Bußpra ehrlichen Compagnia fid befun. diger: don. s| Gran vom Tården eingenomen. 15. Das 111. Capitel. Das V 11. Capitel . Zu Presburg ankommen, zabrabied von Gran. IS Tomorra ankommun, zlAnkunffo gen Warurat. 1o 18 1 3 12. 13. 1 Wien. 14 1 7 Dom ",'table of contentss',40,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/40
97715922-81ed-44e3-8b46-746a8c7e8dc6,Das erſte Buch 3ft eine Beſchreibung der Renk von Tübingen nads Wien biß genConſtantinopel/ vnd hat 1 5. Capitel,'subheading',40,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/40
864a2a6c-9708-49b6-8acf-51584da24358,"Regifte des 1. Bache. 29 19 29 29 1 te 20 30 21 31 31 Dom Pfarrerr dafelbft. fol.16 Konig Ranns begebre vom åre Sologwifeigradi. 17 den das Reid zo geber. 28 Das VIII. Capitel Bönig Ferdinand nimbie Land ein, Unſer Inkonfft zu Ova. 18 Solimann bel& gertuen. Nit was proces de Beer Orator Open ergibt ſich audiens bekompr vom Warda Tård belågert Wien. dafelbft/ ſampt ſeiner Bebau ſungl Bönig Bans wird gekrönt. Stirbt. vnnd was ihm der Regat für Bego Perbide 6efbend åberantwoor. Binig Ferdinand begehrt Ungern 18.19. abermal. 30 Bladung des Wardha SofgeRends. Bonig Hanſen Witwe ruffe den Tården vmb bålff an. Der Waroa macht etliche Tården Xogendorff belágert Oden vergeba zu Zaurden auffdes Legaten vor. lid. 30 bitt. 30 Øer Tård Bompt der Bönigin zu Odloß zu Oda. bålft. 34 Das Wetter ins Soloß za Open De Türck nimbt Oven ein. gerablagen: 23 Der Türck beftellt das Reich. Wir wurden gen peft begleitet. -23) Bénig Ferdinand( dict Legaten an Stadt Deft. Turden. 32 Beforeibung der Stadt Oven. 24 2.8 Tården antwort. Biftorta von Prob der Reiigion zwi: Die Witwe wird außgejagt. 32 Ruben denCbriften Juden und Tür- Das X. Capitek. Wilbad guna. Reyß von Oven gen Griechiſoweit Grde der Stadt Oven vnnd ibres. fenburg. 33 plamens ankanfft. Die die Türden beten. Das X1. Capitel Das IX. Capttet . Unſer Ankunfft za ricordo welfa abſide får Brieg im Drigarifden ſenburg. 35 Reid verlofferi biß der Türck fein Beldrabung der Stadtvñsbloß. medtig worden. 36 Solimann zeudt in Dngern. 27 Dngerlands Grents. Bönig Ludwig tompt vmb. 27 u Sirfen/ Bulgaren/ Rafci vnnd Oden belågert und auffgebert. 27 Sibenbärger ankunfft. Zobann Weiwod wird Dngeriſcher Welder Tård Grte bird weiſſena Bönig. 28 burgerftlich bel& gert. Bönig Ferdin. ſpricht Ongeenan, 28 Bricchi dwuffenburg wird zum era Bönig Bano fleuden Renial -32 ܕܗܘ 25 26 261 26 30 37 3 ",'table of contentss',41,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/41
1b891c7a-29a6-4531-80d5-794e403d441f,"Regiſter des 1. Bucha. $ ftenmal eingenommen. 371Bobc6ebirg. Ungerlands frugibarkeit. 37 Das X111. Capitel. Der Dngarn artb. 38 Das X11. Capitel. Rcyß von Philippopoli biß gen Adria anopd. Keyß con Cliffa biß gen Philippo: Beforeibung der Stadt Philippoa poli. 38 poli. Wir verlieffen die Thonan und bega: Das XIV. Capitel. ben ons auff Guilden. 38 Ankanffc gia Adrianope/ da em. Geftalt der Berbergen inTörckey.40 pfingen ons die Tordirden juna Bader unter pns. gen Galgenvögel mit Sdnces in alt monumentum zu liſſa. 41 baln. 49 Dilopret ift da felgam. 4 Abriß der Tårdtiſchen Stiffttirden Qe Bulgaren Obrengter. daſelbft. Ein gepflasterter Weg zoo. Weiln lang. Das XV. Capitet. 44 Die tauffend Bågel anffoa Sophia Don vnfer ankunfft vnnd empfenge aner Beyden, 14.45 nus zu Conftantwopelo Das ander Buch."" 3A eine Beſchreibung allerhand Gebreuch im Geiſte ficken vnnd Weltlichen Regiment des Zürckiſchen Keyſero/ feinen Loftgåreen/ etlichen Obeuen/ Gelegenbett/ Geſtalt und mei Aomentis der Stadr Conftanttnopel/ aud andern fårnes men Sachen/ vndbar os, Capitel. Das 1. Capitel. Das IV. Capitel. Don der Bern Oratorom Wob: Don des Tordilden Begfers Gea nung zu Conftantinopel, 51 foirr zum Effen/ fampt feiner Stem von ihrer Gwardi, Spuis und Trand. Das II. Capitel. Was der Sultan den Berrn Lega. ten für ein Dandat belt. Berrn Oratoris unterbalcung von Warumb man die Legaten bey den Bof. 53 feuten gum Sultan führt. Grem 3. 6. Taffelgenoſſen. Das V. Capitel. Das III Capitel. Von dem gangen Wertb der Preta Xit was proces der Turconfern Fineen/ Paterfdatedlid/ weldbedie Cürk 1. Legaten aubieno gibt. 55,561 M.B.M. $ 8 59 59 / 1 ",'table of contentss',42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
718f259c-a333-45d8-b0bc-8e1d66e932a7,Ungerlands frugibarkeit. 37,'plants vegetation 25G',42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
1ed626bd-880e-499c-a0ac-0f4e6e5145f1,pfingen ons die Tordirden juna Bader unter pns. gen Galgenvögel mit Sdnces in alt monumentum zu liſſa. 41 baln.,"'animals 25F', 'birds 25F3'",42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
5f9ccfab-e7fc-4da8-9887-3dd4855f3a4e,Dilopret ift da felgam.,"'animals 25F', 'hoofed animalDEER 25F24'",42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
8f6995ab-ed54-4991-a113-52ce85450488,"Das ander Buch."" 3A eine Beſchreibung allerhand Gebreuch im Geiſte ficken vnnd Weltlichen Regiment des Zürckiſchen Keyſero/ feinen Loftgåreen/ etlichen Obeuen/ Gelegenbett/ Geſtalt und mei Aomentis der Stadr Conftanttnopel/ aud andern fårnes men Sachen/ vndbar os, Capitel.",'plants vegetation 25G',42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
89f6f388-988d-4765-ab8d-1eb889e990ae,"Das ander Buch."" 3A eine Beſchreibung allerhand Gebreuch im Geiſte ficken vnnd Weltlichen Regiment des Zürckiſchen Keyſero/ feinen Loftgåreen/ etlichen Obeuen/ Gelegenbett/ Geſtalt und mei Aomentis der Stadr Conftanttnopel/ aud andern fårnes men Sachen/ vndbar os, Capitel.","'subheading', 'plants vegetation 25G'",42,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/42
2452043b-8506-41cc-94d6-e5fc37196a85,"Regiſter des 11. Buchs. 73 cen. R. 3. M. dem Tardiſoben Bogen, Lin Darfier führt enderung ein in der fer damals verebren laſſen. 60.61 Torden digion. 51 Oberaustbeuren Keiß geſſen. 62 Bönig in Perftaleft ein anſeblichen Das VI. Capitel Serften ombringen. 71 Don des Tardiſden Besſers Burg/ Dober die Bdnig kommen. PAnd ſeines Bofgeſinde geberi Dnterfdicd der Perfen vond Társ ram. 61,93 den. 73 Dao VII . Capitel. DasX11 . Capitel. Werond wieviel Legaien nad Con: Wie der Tårdt ſein Felooberſten( an ftantinopd gerdiet worden. 04. der Perfen Frontir) bat wollen 63 wargen laſſen. 73 Du Legaten Impt daſelbft. 65 Der feldoberfi errett ſein Leben lie Boßbatfriger Kabt etocs Waldbco. Aiger weiß. 74 Groſſe trafft der Tårdiſden Sein Lin Waſcha veradot die Beyferlidben Derebrungen. 6 Man kan Ablas lauffen beym Tora Das VIII. Capitel. den. 74 Von außröftung vnnd Beſoldung Das XIII. Capitel. der Berm Legatro nad Conftan: Ankunffe eines Legacen que perfler tinopelo 75 Die lang ein Legat zu Conftantino Maftapha Waldba! Oberfter an der pd bleibt. Perfen frontir/ bringt ſide/ aug Don jbre Botſchafft bin unnd not ford feiner Bubenfte& felbft der. 07 pmb. 75 Donjbrei onbetanten Sorifft in jb Steinerner Brug von Cana in Gal, sen Brieffen. lica. 25 Das IX. Capitel. Geſtalt erftgedagtes Perfifien Roe Domo Bottesdienft in der Herrn Le gaten. 3: 70 gaten Bebaufung/ vnd jbrer Be Das XIV. Capitel. 68.69 Vonder empfabung dieſes Perfito Das X. Capitel. rosen Regaren. Wie der Tårdiſd Beyfer einen an. Ggtalader Perfer, 77 Febnlichen Gricdbirdhen Fürſten Das XV Capitel. erworgen left. 70 Saltanteft den Perfirogen Legaten Das XI. Capitet . fein madot feben. Dom Brieg den da Tardifod Bey Colle Seifenbeiſer. 78 fer in Perfiam förnam vnd deffel Sefprdet dig Derfiften Legaten ben Drfac 70 mit einem Zauben/ Pons Tåra Der Tården Purgation für die & en Pomp. Pferos 701 Das 66 1 67 68 grabnus. 76 77 78 ",'table of contentss',43,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/43
f72ad0cc-2648-42ca-9e28-f0cfabd31465,Oberaustbeuren Keiß geſſen.,'plants vegetation 25G',43,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/43
40bcdec5-df74-4987-b3c6-151bc042dabf,Der Tården Purgation für die & en Pomp. Pferos,"'animals 25F', 'horses and kindred animals 46C1314'",43,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/43
e5594592-7304-4658-8670-a30a3fd2ea8f,"Regiſter des II Bache. 88 79 80 89 1 a men. 81 90 91 Das XV iCapitel. . * Wonder Tordid Beyfer ffor Dogel ieder Perlüfür Gefante- audieng) fange. bakompe/ aud von ſeinen Vereb: Wieder Sultan ſeine Adeliden pers 88 1 rungêi dicer dem Sultan bringeil breder tödten left. g und derſelben werib. Das XXH.Çapitet. - Das XVI: Capitel. Wie ein Obrifter Warda in ſeinem Bonsor Petſier Bleidung/ Ge Almosgeben aftodepoord/ rampe breudartbond Waffen. feincon Zob. Perſier Weiber ſeyn ſodn und Atreit: Sein wird bald vergeſſen. bar. 8i Diß Warda Begrebnus. 90 XV111. Capitel. Das XXIII. Capitel. pon stregen Georgianiren får Wieder Tårdir Beyret von einem ſten/ die zu Conftantinopel ankom nidiswertigen Aftronomo. in groſſen onkoßen geführt wors Durada ibrerankanfft. den, Der eine Färft wird ein Tord. Der Türd left ein känſtlid Werd Cård niſtet ein in Zberia. 83 im Zorn gertrümmern. Xuffrube in Zberia wider die Tår: Das XXIV. Capitel. den. 2 ... Don etliden Brunften zu Conſtantia Die Georgianer masten kandidate nope/ ond piece bey denſelben ges gi mit uns Teutfcben. 83 balten wird. Berr Legat vérebre dieſer Fårften die Zugſpurgide Confeffion. 84 Einer aus unſerm Geſind wird ein. Das XXV. Capitel. Rand dafft der Georgianer. Ein 36erildo 2.B.C.ond Zberiſbe Warumber das gerban. Tard. Sprado. 85 Todtenklag beiden 3béris. was Mu( olmashasader fry.'- 93 85 Todtenklag der Tården. Die einer dweren mus/ der damil Contrafactur des einen Georgiani: Tordiſt perden. foben fürften. Das XXVI. Capitet: 86 Der Georgianer art. Wtedic gefangenen Cbriften gefübrt Das XIX.Capitel. werden. Don eines Spanniſben Currirco wie die gefangenen außgebeten Werden für den Legaten bracht. 95 Conftantinopd perden. 95 ſeinem verrichten dafelbſt. Das XX.Capitel. Dás XXVII. Capitel.. Don eines Florentinifden Legaten Don der gefangenen unterſchied/ bes Ankunfft. foldung/ Gottebdienſt/ Laſter/ jrat 87 beld opcraus amd Bladung Das XXI. Capitel. Salomon 83 1 9% 84 96 86 93 871 1 96 ",'table of contentss',44,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/44
f54e8e1c-59f5-44c3-adfb-4fb1d390e14c,* Wonder Tordid Beyfer ffor Dogel ieder Perlüfür Gefante- audieng) fange.,"'animals 25F', 'birds 25F3'",44,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/44
a09816b3-df41-4ea1-97a9-2f16f1756962,"Regiſter des 71. Buchs. i 99 100 101 114 Salomon Soweigger bat den Ca3reTbeologi feynand Zuriften.11. tedeumum Lutberi für die gefan: Da: XXXI. Capitel. genenCbriftē ins- melſo vertitt.97 Kinder dulen zaConftantinopel.11! Ein roolimmer- Boß von einem ge: Unfletiger braud der Souler. !!! { fangenen, 98 Gelegenbett jbrer ledigung. Das XXXII. Capitel. Der Gefangenen Zubus. 90 Don den Spitaln zu Conſtantmoa Gelegenber der gefangenen Werbs: pel bilder, Das XXXIII.Capitel . Gefangenen werden verkauffr.' Don den fanen Badſtubro zucona Donden Gefangenen auff den Gale: ftantinope vnnd jbrer außdoendia ren. gen Gefialt. 113 Sreed gar wolfeyl auff den Sbif : Wober das Spridwort Eompt/ laß fen. did ein weil mit Fåffen tretten. 114 Das XXVIII. Capitet . Der Badſtuben inwendige Geſtalt. Gelegenbeit der Stadt Conftantino pel. 101 Ein kurgweilige drepffen. 114 Abriß der Stadtconftantinopel.102 Wieviel man Badgelt gibt. IIS Dielerley Vamen dieſer Stabr. 103/ Tården leider kein Baar an beimlia Cordiſche Lebr ſteht auff Tradbeno den Ort. pergament. 104 Teutroen åbertreffen andere Vatios Pmberciß der Stadt. 104 nen mit der Beurdbeit im Bad.- Zablond Jamen der Thor. IJS Kingmauer. 105 Bunft der Badknet. 113 Geftalt der Beurer alde. 105 Wievid Badſtuben zu Conftantinos Srwalse& eufer. pel reyn. Das xxix. Capitel. Torden laffen das Haupt glatt ab. Por den Birden vnnd Stifften zu roberen. I! Conftantinopel. Das XXXIV.Capitel. Stein werden mit der Sågen gee Don den Turdiroben Berbergen.116 rohnitten. Das XXXV. Capitel. Wievid Birden da ſeyn, 108 Don des Griechiſchen Patriarder Gefialt der groſſen Heren Begraba Bloſter zu Conftantinopelo 118 nufſen. 108 Reiltbomb im Blofter. II છે. Ihr Sedmeß. 109leri Comeni Grab. Das XXX.Capitel. Der alten Komiſoen Griechiſchen Don den boben Spulen zu Conftan: Bepfer Ormat. tinopd. Das XXXVI. Capitel. Ordnung in jbrem ſtudiern. 110 Don des Armeniſden Patriarden Der Tården Grammatic, Dobnung nis 104 106 II$ 107 107 120 121 109 llo ",'table of contentss',45,Reisebeschreibung Deutschland und Gebäude Völker Gebräuche Gottesdienst Item Türkischen unterschiedlichen,Z105572305,1033DEFA,https://api.onb.ac.at/iiif/presentation/v3/manifest/1033DEFA,https://viewer.onb.ac.at/1033DEFA/45
